Folder,File,Accuracy,Precision,Recall,F1
Valve1,0.csv,1.0,1.0,1.0,1.0
Valve1,1.csv,1.0,1.0,1.0,1.0
Valve1,2.csv,1.0,1.0,1.0,1.0
Valve1,3.csv,1.0,1.0,1.0,1.0
Valve1,4.csv,1.0,1.0,1.0,1.0
Valve1,5.csv,1.0,1.0,1.0,1.0
Valve1,6.csv,1.0,1.0,1.0,1.0
Valve1,7.csv,1.0,1.0,1.0,1.0
Valve1,8.csv,1.0,1.0,1.0,1.0
Valve1,9.csv,1.0,1.0,1.0,1.0
Valve1,10.csv,1.0,1.0,1.0,1.0
Valve1,11.csv,1.0,1.0,1.0,1.0
Valve1,12.csv,1.0,1.0,1.0,1.0
Valve1,13.csv,1.0,1.0,1.0,1.0
Valve1,14.csv,1.0,1.0,1.0,1.0
Valve1,15.csv,1.0,1.0,1.0,1.0
Valve2,0.csv,1.0,1.0,1.0,1.0
Valve2,1.csv,1.0,1.0,1.0,1.0
Valve2,2.csv,1.0,1.0,1.0,1.0
Valve2,3.csv,1.0,1.0,1.0,1.0
Other,1.csv,1.0,1.0,1.0,1.0
Other,2.csv,1.0,1.0,1.0,1.0
Other,3.csv,1.0,1.0,1.0,1.0
Other,4.csv,1.0,1.0,1.0,1.0
Other,5.csv,0.7484162895927602,1.0,0.7484162895927602,0.8561076604554866
Other,6.csv,1.0,1.0,1.0,1.0
Other,7.csv,1.0,1.0,1.0,1.0
Other,8.csv,1.0,1.0,1.0,1.0
Other,9.csv,1.0,1.0,1.0,1.0
Other,10.csv,1.0,1.0,1.0,1.0
Other,11.csv,1.0,1.0,1.0,1.0
Other,12.csv,1.0,1.0,1.0,1.0
Other,13.csv,1.0,1.0,1.0,1.0
Other,14.csv,0.9988304093567252,1.0,0.9988304093567252,0.9994148624926857
